#,team,gp,mpg,ppg,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,orb,drb,rpg,apg,spg,bpg,tov,pf
,,,,,,,,,,,,,,,,,,,,,
1,London Lightning,57,48.8,116.1,42.1,87.5,.481,9.9,28.9,.342,21.9,30.6,.716,11.7,34.6,46.2,27.2,7.2,4.8,13.9,24.5
2,Fujian,38,48.6,116.1,43.1,88.8,.485,13.4,34.0,.394,16.4,21.2,.777,13.6,31.0,44.6,18.9,7.7,2.5,11.9,19.8
3,Guangzhou Loong Lions,40,48.5,114.1,39.3,83.8,.469,8.6,24.9,.345,26.8,33.4,.802,14.7,28.1,42.8,13.8,9.3,2.2,12.3,26.8
4,Shanxi Zhongyu,38,48.2,113.6,42.7,86.0,.497,10.2,29.6,.343,18.0,25.3,.709,11.3,32.7,44.1,21.5,8.1,2.7,14.0,22.3
5,Shandong,48,48.3,113.5,41.5,83.4,.498,10.4,29.1,.357,19.9,27.3,.731,13.1,30.0,43.0,19.3,10.0,3.0,12.9,24.8
6,Zhejiang Guangsha,54,48.3,113.4,41.9,86.1,.487,9.8,28.2,.348,19.7,24.8,.795,13.2,31.4,44.6,20.3,10.3,2.5,12.6,21.8
7,Xinjiang Guanghui,42,48.1,112.0,40.8,85.9,.475,13.1,36.6,.358,17.2,22.3,.774,13.2,28.5,41.7,18.0,8.6,2.7,12.0,20.0
8,St. John's Edge,49,48.3,109.2,38.9,84.1,.462,11.9,31.9,.372,19.6,25.7,.765,11.3,32.2,43.5,21.6,6.5,2.2,12.4,26.7
9,Qingdao,38,48.0,108.1,39.3,83.3,.472,9.7,27.8,.347,19.8,26.5,.749,12.2,28.1,40.3,15.0,7.6,2.7,12.8,21.8
10,Shenzhen,45,48.2,107.7,40.0,82.5,.485,9.2,25.6,.360,18.5,25.4,.729,12.7,32.6,45.3,15.7,8.4,3.8,13.5,23.0
11,Windsor Express,43,48.0,107.6,38.3,81.0,.473,11.0,30.4,.361,19.9,24.9,.799,9.8,29.5,39.3,16.5,6.8,3.3,11.8,23.2
12,Jiangsu Kendia,41,48.5,107.4,39.9,81.2,.491,9.3,25.0,.372,18.4,23.7,.775,11.4,29.3,40.7,17.4,9.7,3.1,13.3,26.2
13,Halifax Hurricanes,54,48.4,107.0,40.0,85.4,.468,8.9,25.8,.346,18.1,24.7,.731,13.1,33.3,46.4,23.4,7.8,4.2,12.4,24.7
14,Cape Breton Highlanders,39,48.1,106.6,37.9,84.5,.448,9.6,29.0,.332,21.3,28.9,.735,12.1,30.8,42.8,19.7,8.3,3.2,13.5,24.4
15,Liaoning,51,48.5,106.6,40.1,82.7,.485,11.2,30.7,.365,15.2,19.2,.793,11.7,30.4,42.1,20.2,9.4,2.9,12.0,22.2
16,Nanjing Tongxi Monkey King,38,48.3,106.1,40.0,85.6,.468,8.8,27.2,.325,17.3,24.0,.720,13.4,29.7,43.1,18.2,8.2,2.5,13.1,21.3
17,Island Storm,42,48.1,106.0,38.8,86.8,.447,9.1,27.0,.336,19.4,28.0,.694,13.2,32.9,46.1,21.9,8.1,4.7,15.0,21.8
18,Beijing BeiKong,38,48.4,105.8,38.5,84.3,.457,11.1,32.3,.342,17.7,25.1,.705,11.6,30.7,42.3,17.7,8.4,2.8,11.7,21.3
19,Zhejiang Chouzhou,38,48.3,105.4,40.7,85.7,.476,9.0,25.4,.355,14.8,19.4,.763,14.2,29.9,44.1,17.4,9.1,3.3,13.3,23.8
20,Shanghai Dongfang,41,48.2,105.3,37.6,81.5,.462,12.4,32.0,.389,17.6,21.4,.820,10.0,29.4,39.4,15.6,8.1,3.0,11.6,19.3
21,KW Titans,40,48.2,105.1,38.5,85.1,.452,11.5,33.0,.349,16.7,22.2,.751,11.3,29.5,40.7,22.4,6.3,3.1,13.9,25.4
22,Guangdong Dongguan,47,48.1,104.7,39.7,81.5,.487,10.6,29.1,.364,14.9,19.7,.754,12.0,30.8,42.8,18.6,7.9,2.8,11.1,21.2
23,Sichuan Blue Whales,38,48.2,104.7,38.1,81.7,.466,8.5,26.1,.327,19.9,26.6,.750,13.1,30.5,43.6,16.2,6.2,3.8,15.0,20.8
24,Niagara River Lions,44,48.3,104.4,37.8,83.0,.456,10.9,30.3,.359,17.9,24.8,.724,10.8,31.6,42.5,22.5,6.4,5.1,13.6,23.7
25,Tianjin Ronggang,38,47.9,103.7,37.1,81.4,.456,12.5,36.1,.347,17.1,21.6,.792,10.2,24.7,34.8,17.6,9.7,2.5,13.7,22.8
26,Jilin Northeast,38,48.0,103.6,38.8,80.6,.481,9.4,25.0,.377,16.7,20.6,.810,10.0,28.0,38.0,15.4,8.3,1.9,14.2,20.9
27,Beijing Shougang,45,48.3,102.7,38.4,77.5,.496,11.4,29.1,.392,14.5,19.2,.758,10.4,27.2,37.6,20.8,8.5,3.6,12.5,24.0
28,Moncton Magic,48,48.5,102.2,36.5,83.1,.439,10.4,29.6,.352,18.9,25.3,.746,13.4,31.6,45.1,21.7,9.1,3.8,12.6,22.9
29,San Miguel Beermen,30,48.8,101.4,38.1,85.9,.444,8.7,28.6,.305,16.4,23.5,.699,14.7,36.4,51.1,22.2,8.8,6.5,18.3,20.5
30,Zerofees Southland Sharks,11,40.0,101.0,38.0,79.1,.480,8.6,23.2,.373,16.4,21.7,.753,12.8,30.5,43.4,18.9,5.5,2.6,12.1,20.3
31,Grodno-93,54,40.0,100.8,37.0,70.0,.529,10.5,26.6,.395,16.3,21.9,.743,11.5,28.6,40.1,28.4,13.0,3.1,17.4,18.8
32,Northport Batang Pier,22,48.2,99.9,38.0,89.6,.424,8.7,29.4,.296,15.1,23.1,.652,16.7,37.8,54.5,21.2,8.3,4.8,19.4,24.4
33,Alaska Aces,22,48.4,99.3,38.2,88.0,.434,8.0,24.2,.329,15.0,22.0,.680,13.9,36.2,50.1,22.8,8.7,4.2,16.5,24.2
34,Terrafirma DYIP,22,48.0,99.0,36.6,89.2,.410,10.2,33.3,.306,15.6,22.6,.689,13.3,32.0,45.3,19.2,8.4,4.4,18.1,25.5
35,Phoenix Fuel Masters,22,48.9,98.7,37.0,88.6,.418,7.7,24.1,.319,17.0,24.7,.687,17.5,33.0,50.4,22.7,10.0,2.9,18.6,26.5
36,Rain or Shine Elasto Painters,22,49.3,98.2,34.9,86.1,.405,11.1,34.5,.323,17.4,25.8,.674,14.7,37.0,51.7,22.2,8.7,4.9,17.3,23.0
37,Saint John Riptide,44,48.0,97.8,35.3,78.3,.450,10.8,29.0,.372,16.5,21.3,.776,9.3,31.7,41.0,21.5,7.6,3.5,15.1,22.5
38,Talk N Text Tropang Texters,23,47.7,97.2,36.6,86.5,.423,9.9,31.6,.314,14.0,20.0,.702,14.6,36.2,50.8,20.7,8.3,3.7,18.0,23.1
39,CEZ Nymburk,58,40.1,96.2,35.9,70.9,.507,10.6,27.8,.380,13.8,19.0,.725,11.7,27.7,39.5,21.7,9.5,2.6,12.1,19.7
40,Vaqueros de Bayamon,23,40.2,95.9,35.7,68.9,.518,10.9,25.5,.426,13.6,19.9,.683,10.3,24.9,35.2,22.4,8.3,2.5,12.4,17.5
41,Nelson Giants,12,40.0,95.8,34.3,70.6,.485,10.4,28.5,.365,16.9,22.3,.757,12.4,26.0,38.4,19.8,8.0,2.1,13.7,18.9
42,NLEX Road Warriors,28,48.2,95.3,35.7,84.3,.423,8.5,27.5,.310,15.4,21.1,.728,11.9,34.0,45.9,24.6,7.5,3.9,16.4,22.3
43,Barangay Ginebra Kings,26,49.3,95.1,36.3,83.3,.436,6.9,21.8,.316,15.5,21.5,.721,15.7,36.0,51.7,24.9,7.3,3.8,19.4,17.8
44,Adelaide,35,39.9,95.1,34.0,70.1,.485,6.1,17.8,.344,20.9,27.8,.753,10.9,27.7,38.6,17.6,6.3,3.0,13.8,19.1
45,Canterbury Rams,11,40.5,94.2,34.8,75.5,.461,8.9,24.5,.363,15.6,21.2,.738,12.6,24.8,37.5,19.0,9.5,3.2,12.0,21.2
46,BK Kongsberg Miners,34,40.1,94.1,34.9,74.1,.471,8.6,25.9,.333,15.7,22.7,.690,12.9,27.9,40.9,19.9,7.3,3.7,13.0,16.5
47,Flyyingen BBK,32,39.8,93.8,36.8,73.3,.502,7.2,21.8,.331,13.0,18.3,.712,12.6,26.9,39.4,18.7,7.6,3.2,17.6,18.7
48,SCM CSU Craiova,33,40.3,93.7,34.9,67.2,.519,10.1,25.1,.403,13.8,18.8,.735,9.2,24.4,33.6,21.0,7.7,2.2,13.2,22.4
49,Borisfen Mogilev,53,40.1,93.5,34.0,67.7,.502,8.4,24.1,.350,17.1,23.2,.735,8.8,24.2,33.0,22.7,12.8,2.2,14.8,18.6
50,Magnolia Hotshots,32,48.4,93.4,34.9,82.3,.424,8.7,25.8,.336,15.0,21.8,.687,14.5,32.6,47.1,20.6,9.1,3.4,16.7,23.7
51,Etzella Ettelbruck,25,40.4,92.6,34.9,68.9,.506,9.0,25.6,.353,13.8,18.4,.748,9.9,27.9,37.8,18.4,6.2,2.7,12.8,16.7
52,BK Inter Bratislava,45,40.4,92.5,33.3,65.9,.505,10.4,27.6,.378,15.6,20.7,.754,9.2,25.5,34.7,21.6,8.3,2.6,13.0,21.4
53,Ningbo Rockets,38,48.2,92.5,34.9,81.6,.428,9.3,26.9,.344,13.5,18.4,.732,10.5,25.5,36.0,15.7,9.2,3.2,11.3,22.3
54,Meralco Bolts,22,48.3,92.4,34.9,80.2,.435,10.5,29.7,.352,12.2,18.3,.667,9.5,34.6,44.0,21.6,5.9,3.3,14.1,23.6
55,Salon Vilpas,54,40.4,92.0,33.1,67.8,.488,10.2,27.6,.370,15.6,20.8,.750,8.1,28.9,37.1,17.6,6.1,2.8,11.1,18.1
56,Vytis Zanavykas Sakiai,44,40.1,92.0,32.5,65.5,.497,10.4,26.8,.387,16.5,20.6,.801,10.5,25.6,36.1,18.9,9.1,2.9,13.5,20.0
57,CSKA Moscow,65,40.1,91.6,31.4,61.8,.509,9.4,22.6,.414,19.3,23.7,.815,8.8,21.6,30.4,19.8,8.0,3.0,11.8,22.5
58,Randers Cimbria,31,40.0,91.4,33.1,71.0,.467,8.3,25.4,.327,16.9,23.5,.717,10.1,24.5,34.7,15.1,9.0,2.7,13.0,20.0
59,Wellington Saints,12,38.9,91.1,33.6,70.5,.476,7.8,24.0,.323,16.2,21.2,.764,10.6,26.1,36.7,17.2,6.3,2.3,9.3,16.2
60,Homenetmen Beirut,39,40.1,91.0,34.2,71.8,.475,9.0,26.6,.339,13.6,19.3,.707,10.5,26.2,36.7,21.4,9.1,3.1,11.8,14.8
61,Newcastle Eagles,35,40.3,90.9,34.7,78.5,.441,9.3,27.4,.341,12.2,16.7,.732,12.4,26.5,38.9,23.8,10.9,2.8,11.9,16.8
62,Froya Basket,30,40.1,90.7,33.6,73.4,.457,8.9,25.6,.347,14.7,19.2,.763,9.7,25.1,34.8,20.7,8.6,3.0,14.4,17.2
63,HARKO Merlins Crailsheim,39,40.1,90.5,33.1,66.2,.500,10.4,26.7,.390,13.9,19.1,.727,8.3,26.0,34.2,23.9,7.3,3.3,11.9,20.0
64,Super City Rangers,12,40.0,90.2,34.6,71.2,.486,6.8,19.3,.351,14.3,19.8,.722,9.5,24.2,33.7,20.1,6.6,3.3,13.4,18.9
65,Slavia Kosice,52,40.3,90.1,32.1,62.7,.512,9.4,25.6,.368,16.5,21.2,.779,7.9,23.9,31.8,20.3,8.5,1.9,13.8,20.1
66,Guaros,31,40.3,90.1,32.4,68.5,.473,9.4,28.3,.332,15.9,22.7,.700,11.2,24.9,36.1,20.7,10.1,2.3,11.8,20.2
67,Amicale Steinsel,29,40.2,90.0,33.2,71.2,.467,9.5,26.1,.363,14.1,19.4,.725,8.6,30.9,39.5,15.5,6.4,3.8,9.3,14.6
68,Blackwater Bossings,21,48.0,90.0,34.0,85.1,.400,7.7,25.0,.309,14.1,20.9,.678,15.2,33.6,48.9,19.6,8.1,4.4,18.0,21.0
69,Kordall Steelers,11,40.0,89.9,33.5,69.3,.483,6.6,20.6,.322,16.4,23.6,.692,9.6,27.4,37.0,11.2,6.4,1.5,14.6,15.5
70,Rayos de Hermosillo,44,40.5,89.9,33.4,70.2,.476,9.0,25.4,.355,14.1,20.8,.677,10.7,26.4,37.1,18.3,5.9,1.9,12.0,16.5
71,Horsholm 79ers,25,40.4,89.8,33.8,68.8,.492,8.5,22.9,.372,13.6,21.2,.642,10.2,24.6,34.8,19.4,7.0,2.1,13.2,21.8
72,BK Iskra Svit,41,40.3,89.8,33.5,67.8,.494,6.1,19.8,.309,16.7,22.4,.747,10.0,25.7,35.8,16.4,9.0,2.0,13.3,19.6
73,Bakken Bears,53,40.8,89.8,33.4,71.4,.468,8.6,23.6,.363,14.4,19.8,.725,11.9,25.4,37.3,20.2,8.0,3.8,12.3,17.6
74,Espoirs Cholet,36,39.9,89.5,33.3,66.8,.499,7.5,22.8,.328,15.4,23.1,.669,12.4,27.5,39.9,20.8,11.7,2.7,19.6,18.7
75,Golden Eagle YLLI,29,39.7,89.4,33.1,68.2,.485,8.0,22.0,.362,14.5,21.3,.680,9.8,26.7,36.5,19.3,7.2,3.2,14.1,16.5
76,KK Zadar,51,39.9,89.4,32.6,65.5,.498,8.6,24.3,.354,15.6,20.1,.774,9.1,24.2,33.3,19.3,8.1,2.4,12.4,21.1
77,Sigal Prishtina,41,39.8,89.3,32.7,64.4,.508,10.0,27.7,.361,12.4,17.7,.700,9.0,26.7,35.8,22.7,8.5,2.6,13.2,18.0
78,KK Cedevita Olimpija Junior,4,40.0,89.3,30.5,61.5,.496,9.3,23.8,.389,19.0,25.8,.738,13.0,24.3,37.3,20.8,9.5,2.5,19.3,24.0
79,Lobos UAD Mazatlan,44,40.3,89.2,32.8,68.2,.481,9.3,26.3,.355,14.3,19.0,.753,6.9,22.2,29.2,16.8,7.0,2.0,11.5,17.0
80,UMF Grindavik,25,40.4,89.2,33.6,75.5,.444,11.0,32.2,.341,11.1,16.0,.697,11.6,27.8,39.4,22.0,8.7,2.7,13.6,19.2
81,Arantia Larochette,14,40.0,89.1,35.1,77.1,.455,6.6,24.6,.267,12.4,18.1,.688,12.1,29.4,41.4,12.6,8.2,1.4,14.0,19.3
82,Rio Breogan,34,41.0,89.1,33.0,66.9,.493,8.5,22.1,.385,14.6,18.5,.791,9.6,25.1,34.6,17.7,9.3,2.1,11.7,20.3
83,Kauhajoen Karhu,54,40.5,89.1,33.4,69.3,.482,8.1,22.9,.355,14.1,20.0,.707,9.6,27.3,36.9,18.3,6.1,3.2,10.9,16.5
84,Divina Seguros Joventut U18,7,40.0,89.0,32.3,69.3,.466,10.6,31.7,.333,13.9,21.7,.638,10.3,26.7,37.0,22.3,9.6,3.0,16.1,18.6
85,Trotamundos,14,41.4,88.9,32.9,73.7,.446,7.9,24.3,.324,15.4,20.9,.734,12.9,30.0,42.9,20.1,10.9,3.9,12.4,18.1
86,KB Bashkimi Prizren,47,39.5,88.9,32.9,66.9,.492,7.9,24.0,.331,13.3,18.9,.705,10.9,27.9,38.8,21.0,9.1,2.3,14.2,17.4
87,Khimki-2,39,40.0,88.8,31.9,68.5,.467,8.8,25.9,.340,16.2,21.7,.743,10.9,26.4,37.3,22.4,8.8,4.9,14.5,19.2
88,Caballeros de Culiacan,42,40.2,88.8,34.0,73.2,.464,8.3,25.7,.322,12.6,19.0,.665,11.0,26.3,37.4,15.5,8.8,2.9,12.2,16.7
89,Halcones Ciudad Obregon,45,40.2,88.8,34.2,71.6,.477,7.2,22.1,.327,13.2,18.5,.711,12.1,25.9,38.0,15.7,6.4,2.5,13.3,18.0
90,Horsens IC,33,40.0,88.7,32.9,68.0,.484,9.3,23.7,.393,13.5,19.4,.696,9.4,26.8,36.2,17.2,7.6,2.2,11.6,18.2
91,BC Prievidza,39,40.4,88.6,31.9,67.3,.475,10.4,28.4,.366,14.3,19.1,.749,10.2,26.0,36.2,20.1,8.2,2.6,13.7,19.7
92,Melbourne,35,40.1,88.5,32.4,71.7,.451,9.7,26.5,.364,14.1,19.4,.728,11.5,25.3,36.9,16.3,5.0,3.7,11.6,22.1
93,Falco-Vulcano Energia KC Szombathely,55,40.8,88.5,31.9,67.5,.473,9.2,26.0,.354,15.5,20.0,.773,9.1,24.7,33.8,20.1,6.8,1.3,9.3,19.7
94,BC Kalev-Cramo,60,40.3,88.5,31.5,64.7,.487,9.7,24.8,.390,15.9,20.8,.766,10.3,23.5,33.8,20.2,7.8,1.5,12.1,21.6
95,Illawarra,28,39.8,88.4,31.5,68.3,.462,8.9,25.2,.351,16.5,21.6,.765,9.0,22.6,31.6,17.9,7.5,3.8,12.5,19.1
96,Asker Aliens,35,39.8,88.3,31.9,67.3,.473,8.7,24.1,.362,15.8,23.5,.674,10.3,27.4,37.7,19.0,7.2,2.8,13.3,15.8
97,BC Nokia,50,40.2,88.1,31.7,67.3,.471,10.5,27.9,.376,14.3,18.3,.778,7.0,28.5,35.5,17.7,5.4,2.3,11.3,19.5
98,Worcester Wolves,36,40.9,88.1,31.6,69.2,.457,9.4,25.9,.362,15.6,20.7,.754,11.2,25.4,36.6,22.3,7.3,3.1,13.4,16.1
99,Aguilas Doradas de Durango,41,40.5,88.1,33.0,68.7,.480,8.5,24.7,.344,13.6,19.0,.714,10.6,25.9,36.4,18.7,7.6,2.3,14.1,15.2
100,Ostioneros de Guaymas,36,40.3,88.1,32.6,70.4,.463,8.6,25.5,.339,14.3,20.2,.705,11.9,25.8,37.7,17.1,6.8,3.5,13.7,17.5
101,Leicester Riders,38,40.6,88.0,32.9,70.0,.470,9.8,27.6,.355,12.5,16.7,.747,8.8,27.6,36.4,22.6,7.9,3.5,11.7,15.5
102,Seoul SK,64,40.6,88.0,33.4,71.5,.468,7.5,22.5,.333,13.7,18.5,.741,12.2,24.9,37.0,19.7,6.5,3.3,9.8,19.2
103,FC Barcelona Regal U18,4,40.0,88.0,31.3,78.8,.397,6.0,23.8,.253,19.5,27.5,.709,19.8,29.5,49.3,17.5,8.3,4.0,17.0,17.0
104,Real Madrid,82,40.1,87.9,30.9,63.1,.490,9.8,25.8,.379,16.3,21.3,.765,9.1,24.3,33.5,18.4,6.9,3.5,11.6,20.4
105,FC Porto Ferpinta,51,40.2,87.9,31.8,63.6,.500,7.5,21.7,.344,16.9,22.0,.765,9.7,24.1,33.7,20.0,6.6,1.9,13.2,22.3
106,U.D. Oliveirense Cacarola,41,40.0,87.9,31.7,64.3,.492,8.3,23.0,.360,16.3,21.5,.756,9.5,23.2,32.8,18.7,9.5,2.9,11.6,20.4
107,ALBA Berlin,66,40.3,87.8,30.3,60.3,.502,9.7,23.6,.413,17.4,22.5,.777,8.9,22.0,31.0,21.5,8.3,2.0,14.8,19.9
108,Soles,58,40.2,87.7,32.1,67.4,.476,9.1,24.7,.368,14.4,21.2,.679,10.5,25.6,36.1,19.8,7.7,3.1,11.6,18.9
109,Frayles de Guasave,38,40.3,87.6,32.8,68.9,.477,8.7,24.7,.353,13.2,18.3,.724,10.0,24.3,34.3,15.0,5.6,2.2,10.9,15.2
110,Musel Pikes,27,39.7,87.6,31.3,66.4,.471,10.3,28.9,.355,14.9,20.7,.716,7.9,24.5,32.4,12.1,7.1,1.6,11.1,19.8
111,Lugano Tigers,34,40.4,87.6,31.6,69.3,.456,9.1,26.6,.344,15.2,20.6,.741,12.5,24.2,36.7,19.4,8.6,2.1,10.7,16.9
112,KK Rabotnicki AD Skipje,40,40.2,87.6,32.1,63.0,.510,9.7,25.7,.379,13.7,18.8,.730,8.9,24.7,33.6,20.1,9.4,2.1,12.5,18.4
113,KK Metalac Valjevo,37,40.3,87.6,31.8,64.7,.491,6.6,20.2,.327,17.4,23.9,.728,6.7,23.6,30.3,19.1,7.7,1.6,13.8,19.8
114,Union Basket Chartres Masculin,42,40.0,87.5,30.8,64.3,.479,10.0,26.9,.371,15.9,20.6,.771,8.7,23.3,32.0,23.7,6.8,2.5,13.0,20.4
115,UMF Tindastoll,33,40.5,87.4,30.1,72.4,.415,10.6,33.2,.320,16.6,24.3,.685,11.4,27.3,38.8,19.3,9.4,2.7,13.5,22.7
116,Caledonia Gladiators,37,40.3,87.3,33.1,69.9,.473,7.6,21.6,.350,13.6,18.0,.756,8.5,28.6,37.1,20.4,7.4,3.7,12.9,15.1
117,BC Hallmann Vienna,37,40.1,87.2,31.3,63.6,.493,8.6,25.2,.343,15.9,20.2,.790,7.1,20.0,27.1,17.5,6.6,1.5,10.8,17.6
118,SL Benfica,50,40.5,87.2,31.4,63.7,.492,9.5,25.3,.376,15.0,18.9,.792,7.9,24.5,32.5,20.4,6.3,2.3,12.5,19.8
119,Bayern Munich,72,40.1,87.2,30.6,58.9,.520,7.3,20.1,.361,18.7,23.9,.782,7.7,23.4,31.1,21.1,7.8,2.3,13.1,21.4
120,Pioneros de Los Mochis,44,40.5,87.2,32.9,70.2,.469,7.2,20.6,.350,14.2,19.5,.725,10.6,24.8,35.4,16.4,7.1,2.8,12.9,17.4
121,Gries Oberhoffen BC,34,40.0,87.1,32.0,65.3,.490,9.3,26.2,.354,13.9,19.2,.723,9.1,23.4,32.5,19.1,7.8,2.7,12.1,15.6
122,Correcaminos,45,40.1,87.1,31.9,69.2,.461,8.1,23.3,.346,15.3,20.2,.755,9.1,27.1,36.2,14.8,5.7,2.7,12.1,17.2
123,Anyang KGC,61,40.1,87.0,33.4,70.8,.471,8.3,24.6,.339,11.9,16.9,.703,11.2,24.0,35.2,18.7,6.8,3.8,9.7,18.3
124,Espoo United,40,40.3,87.0,32.3,68.8,.469,9.7,24.7,.393,12.7,17.3,.733,9.1,26.2,35.2,16.4,5.2,3.0,14.2,20.2
125,Pyrinto Tampere,43,40.3,87.0,32.8,67.6,.486,6.4,18.3,.349,15.0,20.3,.738,8.3,23.1,31.3,16.3,7.5,1.5,12.0,21.3
126,Garra Canera de Navolato,42,40.2,87.0,31.8,69.8,.456,10.1,28.2,.360,13.2,17.4,.760,9.0,25.0,34.1,12.9,6.8,2.8,10.8,15.8
127,KK Split,28,40.6,86.9,32.7,65.1,.503,9.2,24.2,.379,12.3,16.5,.748,7.8,23.4,31.2,21.4,8.1,2.2,12.6,20.3
128,BK Levicki Patrioti Levice,49,40.2,86.8,32.3,64.8,.498,8.4,23.8,.352,13.8,19.3,.718,10.1,23.3,33.4,19.2,8.5,3.0,12.5,20.7
129,KK Partizan,49,40.1,86.8,31.3,64.1,.489,7.5,20.8,.361,16.6,21.4,.774,9.1,22.8,31.9,18.8,7.0,2.0,12.2,23.3
130,Quilmes,44,40.6,86.8,31.3,67.6,.464,10.8,28.6,.379,13.3,18.2,.730,7.5,23.2,30.7,18.5,7.7,2.0,11.6,22.6
131,Zonkeys de Tijuana,44,40.1,86.8,33.4,68.1,.490,8.9,24.2,.368,11.1,17.0,.652,10.1,26.4,36.5,18.6,7.4,3.0,12.9,16.3
132,Zalgiris U18,4,40.0,86.8,32.0,71.8,.446,5.0,18.3,.274,17.8,23.3,.763,13.5,23.5,37.0,17.0,7.5,3.5,8.8,17.0
133,Giessen 46ers,34,40.1,86.7,30.2,65.9,.458,10.0,27.1,.368,16.4,20.8,.789,8.9,25.3,34.2,18.9,5.1,2.6,14.2,21.0
134,Twarde Pierniki Torun,40,40.0,86.7,31.3,63.2,.495,8.2,20.5,.400,16.0,20.3,.790,8.1,22.7,30.7,18.8,6.8,2.6,11.0,20.0
135,Surrey Scorchers,35,40.5,86.7,31.1,67.3,.462,8.9,24.8,.358,15.7,22.4,.702,8.3,26.7,34.9,20.3,7.3,1.7,14.8,15.9
136,Vitoria Alves Guimaraes,40,40.5,86.7,31.2,65.2,.478,8.5,24.3,.348,15.9,19.9,.799,9.1,23.6,32.7,16.8,7.3,1.7,12.6,19.6
137,Residence Walferdange,29,40.2,86.7,33.3,69.3,.481,6.6,19.6,.336,13.4,20.1,.670,8.7,26.7,35.4,11.7,6.7,1.1,12.9,15.2
138,Turk Telekom,34,40.4,86.6,31.1,62.4,.497,11.1,27.9,.396,13.5,18.9,.712,6.8,23.3,30.1,22.1,7.7,1.4,10.1,19.7
139,Cheshire Phoenix,33,40.0,86.6,32.9,71.8,.458,7.3,23.4,.310,13.6,18.9,.721,12.9,23.4,36.3,21.1,7.5,2.5,12.2,15.9
140,T71 Dudelange,24,40.1,86.6,32.0,70.5,.454,8.9,26.1,.341,13.8,18.5,.745,9.2,28.0,37.2,16.1,6.1,1.0,12.8,18.0
141,KK Dynamic,43,40.0,86.4,31.4,65.8,.477,10.0,28.3,.351,13.7,19.2,.711,11.1,25.2,36.3,20.4,7.1,2.7,15.5,24.7
142,Sydney,28,40.3,86.4,31.7,68.2,.465,8.8,23.4,.377,14.1,19.4,.726,9.1,23.7,32.8,17.1,6.6,3.6,11.0,19.3
143,London Lions,38,40.5,86.3,32.6,69.2,.470,8.8,23.5,.372,12.4,17.5,.710,9.5,27.3,36.8,21.6,8.9,3.1,13.5,16.6
144,KK Vojvodina Novi Sad,36,40.4,86.3,30.2,73.6,.410,10.4,34.9,.298,15.6,23.1,.674,12.4,24.6,37.0,17.1,9.0,1.7,13.3,25.1
145,KK Kumanovo,35,40.4,86.3,32.3,62.9,.514,9.2,24.2,.380,12.5,16.7,.750,7.0,21.8,28.8,18.7,8.0,1.1,13.7,20.5
146,Acqua San Bernardo Cantu,35,40.4,86.3,31.0,67.2,.461,8.8,25.1,.351,15.5,20.9,.742,8.8,23.3,32.1,16.9,7.2,2.0,12.2,20.2
147,Marijampole Suduva-Arvi,44,40.1,86.2,32.4,63.8,.508,8.4,23.9,.350,13.0,19.7,.661,10.3,22.9,33.2,22.5,8.7,2.9,13.4,20.6
148,Orleans Loiret Basket,37,40.3,86.2,32.7,66.8,.490,10.5,27.5,.382,10.9,14.6,.747,8.8,22.5,31.4,21.7,8.0,1.7,13.2,18.4
149,Wonju Dongbu Promy,63,40.3,86.2,32.0,71.7,.447,9.1,27.4,.332,13.0,18.3,.712,12.8,26.4,39.3,16.1,6.7,3.7,12.1,19.8
150,Zenit Saint Petersburg,48,40.0,86.1,29.9,65.2,.459,8.4,24.0,.349,17.9,23.6,.760,9.3,21.5,30.8,18.4,6.9,2.3,12.2,22.2
151,Lietuvos Rytas,65,40.2,86.1,31.3,64.9,.482,8.9,23.3,.383,14.5,18.6,.782,9.2,22.7,31.8,20.7,8.3,2.8,12.0,21.9
152,Capitanes de Arecibo,24,40.2,86.1,29.8,64.8,.460,8.5,24.0,.356,18.0,23.4,.768,8.8,25.1,33.8,17.9,5.6,1.9,11.7,20.5
153,Hapoel Unet Holon,54,40.5,86.1,29.7,61.4,.483,8.8,24.7,.355,18.0,22.9,.786,5.6,23.5,29.1,19.7,7.5,3.4,12.7,20.1
154,Team FOG Naestved,30,40.2,86.1,30.6,67.8,.452,10.0,27.2,.368,14.9,19.5,.762,10.9,22.9,33.7,17.1,6.8,2.2,12.6,19.3
155,Scanplus Baskets Elchingen,32,40.2,86.1,32.7,69.0,.473,7.8,24.0,.323,13.0,22.5,.577,12.6,25.8,38.5,22.0,10.7,3.0,14.4,24.5
156,Santeros de Aguada,23,40.4,86.0,32.9,68.7,.479,7.3,20.0,.367,12.9,18.3,.705,11.5,26.0,37.5,20.9,5.6,2.0,13.5,20.8
157,Haukar,31,40.2,86.0,32.1,71.0,.452,9.2,28.2,.325,12.7,17.4,.730,10.6,30.2,40.8,19.1,7.6,4.5,13.5,19.2
158,Anwil Wloclawek,45,40.6,86.0,31.2,64.5,.484,8.6,24.7,.350,14.9,20.7,.723,9.6,24.4,34.0,18.9,9.0,2.2,13.9,21.8
159,SC Rasta Vechta,39,40.0,86.0,31.1,65.3,.476,8.0,22.2,.362,15.7,21.5,.730,10.3,21.5,31.9,21.3,9.2,2.7,11.4,20.7
